mcf_recid,mcf_refs,mcf_refd,site,year,mcf_id,day_c,rep_ncf,grid_id,mcf_ob1,mcf_ob2
1,1,1,T1,13,T1 13 11,1,1,1,,
2,2,2,T1,13,T1 13 21,1,1,2,,
3,3,3,T1,13,T1 13 31,1,1,3,,
4,4,4,T1,13,T1 13 41,1,1,4,,
5,5,5,T1,13,T1 13 11,1,2,1,,
6,6,6,T1,13,T1 13 21,1,2,2,,
7,7,7,T1,13,T1 13 31,1,2,3,,
8,8,8,T1,13,T1 13 41,1,2,4,,
9,9,9,T1,13,T1 13 11,1,3,1,,
10,10,10,T1,13,T1 13 21,1,3,2,,
11,11,11,T1,13,T1 13 31,1,3,3,,
12,12,12,T1,13,T1 13 41,1,3,4,,
13,13,1,T1,13,T1 13 12,2,1,1,,
14,14,2,T1,13,T1 13 22,2,1,2,,
15,15,3,T1,13,T1 13 32,2,1,3,,
16,16,4,T1,13,T1 13 42,2,1,4,,
17,17,5,T1,13,T1 13 12,2,2,1,,
18,18,6,T1,13,T1 13 22,2,2,2,,
19,19,7,T1,13,T1 13 32,2,2,3,,
20,20,8,T1,13,T1 13 42,2,2,4,,
21,21,9,T1,13,T1 13 12,2,3,1,,
22,22,10,T1,13,T1 13 22,2,3,2,,
23,23,11,T1,13,T1 13 32,2,3,3,,
24,24,12,T1,13,T1 13 42,2,3,4,,
25,25,1,T1,13,T1 13 13,3,1,1,,
26,26,2,T1,13,T1 13 23,3,1,2,,
27,27,3,T1,13,T1 13 33,3,1,3,,
28,28,4,T1,13,T1 13 43,3,1,4,,
29,29,5,T1,13,T1 13 13,3,2,1,,
30,30,6,T1,13,T1 13 23,3,2,2,,
31,31,7,T1,13,T1 13 33,3,2,3,,
32,32,8,T1,13,T1 13 43,3,2,4,,
33,33,9,T1,13,T1 13 13,3,3,1,,
34,34,10,T1,13,T1 13 23,3,3,2,,
35,35,11,T1,13,T1 13 33,3,3,3,,
36,36,12,T1,13,T1 13 43,3,3,4,,
37,37,1,T1,13,T1 13 14,4,1,1,,
38,38,2,T1,13,T1 13 24,4,1,2,,
39,39,3,T1,13,T1 13 34,4,1,3,,
40,40,4,T1,13,T1 13 44,4,1,4,,
41,41,5,T1,13,T1 13 14,4,2,1,,
42,42,6,T1,13,T1 13 24,4,2,2,,
43,43,7,T1,13,T1 13 34,4,2,3,,
44,44,8,T1,13,T1 13 44,4,2,4,,
45,45,9,T1,13,T1 13 14,4,3,1,,
46,46,10,T1,13,T1 13 24,4,3,2,,
47,47,11,T1,13,T1 13 34,4,3,3,,
48,48,12,T1,13,T1 13 44,4,3,4,,
49,49,1,T1,13,T1 13 15,5,1,1,,
50,50,2,T1,13,T1 13 25,5,1,2,,
51,51,3,T1,13,T1 13 35,5,1,3,,
52,52,4,T1,13,T1 13 45,5,1,4,,
53,53,5,T1,13,T1 13 15,5,2,1,,
54,54,6,T1,13,T1 13 25,5,2,2,,
55,55,7,T1,13,T1 13 35,5,2,3,,
56,56,8,T1,13,T1 13 45,5,2,4,,
57,57,9,T1,13,T1 13 15,5,3,1,,
58,58,10,T1,13,T1 13 25,5,3,2,,
59,59,11,T1,13,T1 13 35,5,3,3,,
60,60,12,T1,13,T1 13 45,5,3,4,,
61,61,1,T1,13,T1 13 16,6,1,1,,
62,62,2,T1,13,T1 13 26,6,1,2,,
63,63,3,T1,13,T1 13 36,6,1,3,,
64,64,4,T1,13,T1 13 46,6,1,4,,
65,65,5,T1,13,T1 13 16,6,2,1,,
66,66,6,T1,13,T1 13 26,6,2,2,,
67,67,7,T1,13,T1 13 36,6,2,3,,
68,68,8,T1,13,T1 13 46,6,2,4,,
69,69,9,T1,13,T1 13 16,6,3,1,,
70,70,10,T1,13,T1 13 26,6,3,2,,
71,71,11,T1,13,T1 13 36,6,3,3,,
72,72,12,T1,13,T1 13 46,6,3,4,,
73,73,1,T1,13,T1 13 17,7,1,1,,
74,74,2,T1,13,T1 13 27,7,1,2,,
75,75,3,T1,13,T1 13 37,7,1,3,,
76,76,4,T1,13,T1 13 47,7,1,4,,
77,77,5,T1,13,T1 13 17,7,2,1,,
78,78,6,T1,13,T1 13 27,7,2,2,,
79,79,7,T1,13,T1 13 37,7,2,3,,
80,80,8,T1,13,T1 13 47,7,2,4,,
81,81,9,T1,13,T1 13 17,7,3,1,,
82,82,10,T1,13,T1 13 27,7,3,2,,
83,83,11,T1,13,T1 13 37,7,3,3,,
84,84,12,T1,13,T1 13 47,7,3,4,,
85,85,1,T1,13,T1 13 18,8,1,1,,
86,86,2,T1,13,T1 13 28,8,1,2,,
87,87,3,T1,13,T1 13 38,8,1,3,,
88,88,4,T1,13,T1 13 48,8,1,4,,
89,89,5,T1,13,T1 13 18,8,2,1,,
90,90,6,T1,13,T1 13 28,8,2,2,,
91,91,7,T1,13,T1 13 38,8,2,3,,
92,92,8,T1,13,T1 13 48,8,2,4,,
93,93,9,T1,13,T1 13 18,8,3,1,,
94,94,10,T1,13,T1 13 28,8,3,2,,
95,95,11,T1,13,T1 13 38,8,3,3,,
96,96,12,T1,13,T1 13 48,8,3,4,,
97,97,1,T1,13,T1 13 19,9,1,1,,
98,98,2,T1,13,T1 13 29,9,1,2,,
99,99,3,T1,13,T1 13 39,9,1,3,,
100,100,4,T1,13,T1 13 49,9,1,4,,
101,101,5,T1,13,T1 13 19,9,2,1,,
102,102,6,T1,13,T1 13 29,9,2,2,,
103,103,7,T1,13,T1 13 39,9,2,3,,
104,104,8,T1,13,T1 13 49,9,2,4,,
105,105,9,T1,13,T1 13 19,9,3,1,,
106,106,10,T1,13,T1 13 29,9,3,2,,
107,107,11,T1,13,T1 13 39,9,3,3,,
108,108,12,T1,13,T1 13 49,9,3,4,,
109,109,1,T1,13,T1 13 110,10,1,1,,
