mci_recid,mci_refsite,mci_refday,site,year,img_fid,img_flink,img_cid,day_c,rep_nci,grid_id,mnci_ob1,mnci_ob2
1,1,1,T1,13,113111,T113111.jpg,1,1,1,1,,
2,2,2,T1,13,113121,T113121.jpg,1,1,1,2,,
3,3,3,T1,13,113131,T113131.jpg,1,1,1,3,,
4,4,4,T1,13,113141,T113141.jpg,1,1,1,4,,
5,5,5,T1,13,113111,T113111.jpg,1,1,2,1,,
6,6,6,T1,13,113121,T113121.jpg,1,1,2,2,,
7,7,7,T1,13,113131,T113131.jpg,1,1,2,3,,
8,8,8,T1,13,113141,T113141.jpg,1,1,2,4,,
9,9,9,T1,13,113111,T113111.jpg,1,1,3,1,,
10,10,10,T1,13,113121,T113121.jpg,1,1,3,2,,
11,11,11,T1,13,113131,T113131.jpg,1,1,3,3,,
12,12,12,T1,13,113141,T113141.jpg,1,1,3,4,,
13,13,1,T1,13,113112,T113112.jpg,1,2,1,1,,
14,14,2,T1,13,113122,T113122.jpg,1,2,1,2,,
15,15,3,T1,13,113132,T113132.jpg,1,2,1,3,,
16,16,4,T1,13,113142,T113142.jpg,1,2,1,4,,
17,17,5,T1,13,113112,T113112.jpg,1,2,2,1,,
18,18,6,T1,13,113122,T113122.jpg,1,2,2,2,,
19,19,7,T1,13,113132,T113132.jpg,1,2,2,3,,
20,20,8,T1,13,113142,T113142.jpg,1,2,2,4,,
21,21,9,T1,13,113112,T113112.jpg,1,2,3,1,,
22,22,10,T1,13,113122,T113122.jpg,1,2,3,2,,
23,23,11,T1,13,113132,T113132.jpg,1,2,3,3,,
24,24,12,T1,13,113142,T113142.jpg,1,2,3,4,,
25,25,1,T1,13,113113,T113113.jpg,1,3,1,1,,
26,26,2,T1,13,113123,T113123.jpg,1,3,1,2,,
27,27,3,T1,13,113133,T113133.jpg,1,3,1,3,,
28,28,4,T1,13,113143,T113143.jpg,1,3,1,4,,
29,29,5,T1,13,113113,T113113.jpg,1,3,2,1,,
30,30,6,T1,13,113123,T113123.jpg,1,3,2,2,,
31,31,7,T1,13,113133,T113133.jpg,1,3,2,3,,
32,32,8,T1,13,113143,T113143.jpg,1,3,2,4,,
33,33,9,T1,13,113113,T113113.jpg,1,3,3,1,,
34,34,10,T1,13,113123,T113123.jpg,1,3,3,2,,
35,35,11,T1,13,113133,T113133.jpg,1,3,3,3,,
36,36,12,T1,13,113143,T113143.jpg,1,3,3,4,,
37,37,1,T1,13,113114,T113114.jpg,1,4,1,1,,
38,38,2,T1,13,113124,T113124.jpg,1,4,1,2,,
39,39,3,T1,13,113134,T113134.jpg,1,4,1,3,,
40,40,4,T1,13,113144,T113144.jpg,1,4,1,4,,
41,41,5,T1,13,113114,T113114.jpg,1,4,2,1,,
42,42,6,T1,13,113124,T113124.jpg,1,4,2,2,,
43,43,7,T1,13,113134,T113134.jpg,1,4,2,3,,
44,44,8,T1,13,113144,T113144.jpg,1,4,2,4,,
45,45,9,T1,13,113114,T113114.jpg,1,4,3,1,,
46,46,10,T1,13,113124,T113124.jpg,1,4,3,2,,
47,47,11,T1,13,113134,T113134.jpg,1,4,3,3,,
48,48,12,T1,13,113144,T113144.jpg,1,4,3,4,,
49,49,1,T1,13,113115,T113115.jpg,1,5,1,1,,
50,50,2,T1,13,113125,T113125.jpg,1,5,1,2,,
51,51,3,T1,13,113135,T113135.jpg,1,5,1,3,,
52,52,4,T1,13,113145,T113145.jpg,1,5,1,4,,
53,53,5,T1,13,113115,T113115.jpg,1,5,2,1,,
54,54,6,T1,13,113125,T113125.jpg,1,5,2,2,,
55,55,7,T1,13,113135,T113135.jpg,1,5,2,3,,
56,56,8,T1,13,113145,T113145.jpg,1,5,2,4,,
57,57,9,T1,13,113115,T113115.jpg,1,5,3,1,,
58,58,10,T1,13,113125,T113125.jpg,1,5,3,2,,
59,59,11,T1,13,113135,T113135.jpg,1,5,3,3,,
60,60,12,T1,13,113145,T113145.jpg,1,5,3,4,,
61,61,1,T1,13,113116,T113116.jpg,1,6,1,1,,
62,62,2,T1,13,113126,T113126.jpg,1,6,1,2,,
63,63,3,T1,13,113136,T113136.jpg,1,6,1,3,,
64,64,4,T1,13,113146,T113146.jpg,1,6,1,4,,
65,65,5,T1,13,113116,T113116.jpg,1,6,2,1,,
66,66,6,T1,13,113126,T113126.jpg,1,6,2,2,,
67,67,7,T1,13,113136,T113136.jpg,1,6,2,3,,
68,68,8,T1,13,113146,T113146.jpg,1,6,2,4,,
69,69,9,T1,13,113116,T113116.jpg,1,6,3,1,,
70,70,10,T1,13,113126,T113126.jpg,1,6,3,2,,
71,71,11,T1,13,113136,T113136.jpg,1,6,3,3,,
72,72,12,T1,13,113146,T113146.jpg,1,6,3,4,,
73,73,1,T1,13,113117,T113117.jpg,1,7,1,1,,
74,74,2,T1,13,113127,T113127.jpg,1,7,1,2,,
75,75,3,T1,13,113137,T113137.jpg,1,7,1,3,,
76,76,4,T1,13,113147,T113147.jpg,1,7,1,4,,
77,77,5,T1,13,113117,T113117.jpg,1,7,2,1,,
78,78,6,T1,13,113127,T113127.jpg,1,7,2,2,,
79,79,7,T1,13,113137,T113137.jpg,1,7,2,3,,
80,80,8,T1,13,113147,T113147.jpg,1,7,2,4,,
81,81,9,T1,13,113117,T113117.jpg,1,7,3,1,,
82,82,10,T1,13,113127,T113127.jpg,1,7,3,2,,
83,83,11,T1,13,113137,T113137.jpg,1,7,3,3,,
84,84,12,T1,13,113147,T113147.jpg,1,7,3,4,,
85,85,1,T1,13,113118,T113118.jpg,1,8,1,1,,
86,86,2,T1,13,113128,T113128.jpg,1,8,1,2,,
87,87,3,T1,13,113138,T113138.jpg,1,8,1,3,,
88,88,4,T1,13,113148,T113148.jpg,1,8,1,4,,
89,89,5,T1,13,113118,T113118.jpg,1,8,2,1,,
90,90,6,T1,13,113128,T113128.jpg,1,8,2,2,,
91,91,7,T1,13,113138,T113138.jpg,1,8,2,3,,
92,92,8,T1,13,113148,T113148.jpg,1,8,2,4,,
93,93,9,T1,13,113118,T113118.jpg,1,8,3,1,,
94,94,10,T1,13,113128,T113128.jpg,1,8,3,2,,
95,95,11,T1,13,113138,T113138.jpg,1,8,3,3,,
96,96,12,T1,13,113148,T113148.jpg,1,8,3,4,,
97,97,1,T1,13,113119,T113119.jpg,1,9,1,1,,
98,98,2,T1,13,113129,T113129.jpg,1,9,1,2,,
99,99,3,T1,13,113139,T113139.jpg,1,9,1,3,,
100,100,4,T1,13,113149,T113149.jpg,1,9,1,4,,
101,101,5,T1,13,113119,T113119.jpg,1,9,2,1,,
102,102,6,T1,13,113129,T113129.jpg,1,9,2,2,,
103,103,7,T1,13,113139,T113139.jpg,1,9,2,3,,
104,104,8,T1,13,113149,T113149.jpg,1,9,2,4,,
105,105,9,T1,13,113119,T113119.jpg,1,9,3,1,,
106,106,10,T1,13,113129,T113129.jpg,1,9,3,2,,
107,107,11,T1,13,113139,T113139.jpg,1,9,3,3,,
108,108,12,T1,13,113149,T113149.jpg,1,9,3,4,,
109,109,1,T1,13,1131110,T1131110.jpg,1,10,1,1,,
110,110,2,T1,13,1131210,T1131210.jpg,1,10,1,2,,
111,111,3,T1,13,1131310,T1131310.jpg,1,10,1,3,,
112,112,4,T1,13,1131410,T1131410.jpg,1,10,1,4,,
113,113,5,T1,13,1131110,T1131110.jpg,1,10,2,1,,
114,114,6,T1,13,1131210,T1131210.jpg,1,10,2,2,,
115,115,7,T1,13,1131310,T1131310.jpg,1,10,2,3,,
116,116,8,T1,13,1131410,T1131410.jpg,1,10,2,4,,
117,117,9,T1,13,1131110,T1131110.jpg,1,10,3,1,,
118,118,10,T1,13,1131210,T1131210.jpg,1,10,3,2,,
119,119,11,T1,13,1131310,T1131310.jpg,1,10,3,3,,
120,120,12,T1,13,1131410,T1131410.jpg,1,10,3,4,,
121,1,1,P2,13,213111,P213111.jpg,1,1,1,1,,
122,2,2,P2,13,213121,P213121.jpg,1,1,1,2,,
123,3,3,P2,13,213131,P213131.jpg,1,1,1,3,,
124,4,4,P2,13,213141,P213141.jpg,1,1,1,4,,
125,5,5,P2,13,213111,P213111.jpg,1,1,2,1,,
126,6,6,P2,13,213121,P213121.jpg,1,1,2,2,,
127,7,7,P2,13,213131,P213131.jpg,1,1,2,3,,
128,8,8,P2,13,213141,P213141.jpg,1,1,2,4,,
129,9,9,P2,13,213111,P213111.jpg,1,1,3,1,,
