collec_recid,collec_ref,site,year,month,day,date_iso,time_iso,day_c,site_id,temperature,humidity,wind-speed,cloud-cover,filght-activity,nest-activity,notes,,,
61,13,P2,11,11,28,2011-11-28,10:30:00,13,P21113,21.6,61%,1.1,,M,L,,,,
62,14,P2,11,12,7,2011-12-07,11:00:00,14,P21114,22.2,84%,1.8,10%,H,H,,,,
63,15,P2,11,12,9,2011-12-09,12:30:00,15,P21115,20.5,68%,1.5,,,,,,,
64,16,P2,11,12,20,2011-12-20,12:30:00,16,P21116,19.6,61%,1.5,,H,H,,,,
65,1,M3,11,11,11,2011-11-11,12:00:00,1,M3111,,,,,L,L,Start survey,,,
66,2,M3,11,11,12,2011-11-12,10:00:00,2,M3112,26.3,37%,0.7,,L,L,,,,
67,3,M3,11,11,13,2011-11-13,10:00:00,3,M3113,22.6,54%,0.7,,L,L,,,,
68,4,M3,11,11,14,2011-11-14,11:00:00,4,M3114,25.9,44%,1.1,,,,,,,
69,5,M3,11,11,15,2011-11-15,12:00:00,5,M3115,21.6,45%,0.0,,,,,,,
70,6,M3,11,11,16,2011-11-16,,6,M3116,23.3,56%,2.3,,,,,,,
71,7,M3,11,11,17,2011-11-17,,7,M3117,26.0,67%,0.6,,,,,,,
72,8,M3,11,11,18,2011-11-18,,8,M3118,21.5,50%,0.6,,,,,,,
73,9,M3,11,11,21,2011-11-21,11:00:00,9,M3119,25.7,52%,1.0,,,,,,,
74,10,M3,11,11,22,2011-11-22,12:00:00,10,M31110,31.2,45%,0.7,,,,,,,
75,11,M3,11,11,23,2011-11-23,,11,M31111,,,,,,,,,,
76,12,M3,11,11,24,2011-11-24,11:00:00,12,M31112,23.9,58%,0.6,,M,M,,,,
77,13,M3,11,11,28,2011-11-28,11:30:00,13,M31113,23.6,61%,0.6,5%,H,H,,,,
78,14,M3,11,12,7,2011-12-07,11:45:00,14,M31114,25.1,56%,0.7,5%,H,H,,,,
79,15,M3,11,12,9,2011-12-09,,15,M31115,29.5,56%,0.6,,,,,,,
80,16,M3,11,12,20,2011-12-20,,16,M31116,,,,,,,End monitoring,,,
81,1,T1,12,11,9,2012-11-09,,1,T1121,,,,,,,Start survey,,,
82,2,T1,12,11,10,2012-11-10,11:00:00,2,T1122,,,,,,,,,,
83,3,T1,12,11,11,2012-11-11,08:30:00,3,T1123,13.9,69%,0.3,20%,L,L,,,,
84,4,T1,12,11,12,2012-11-12,08:30:00,4,T1124,15.5,77%,0.4,50%,L,L,,,,
85,5,T1,12,11,13,2012-11-13,08:30:00,5,T1125,16.6,72%,0.4,10%,M,M,,,,
86,6,T1,12,11,14,2012-11-14,08:30:00,6,T1126,14.0,70%,0.3,60%,L,L,,,,
87,7,T1,12,11,15,2012-11-15,08:30:00,7,T1127,15.0,82%,0.5,80%,L,L,,,,
88,8,T1,12,11,16,2012-11-16,08:30:00,8,T1128,18.7,63%,0.4,50%,L,L,,,,
89,9,T1,12,11,18,2012-11-18,10:00:00,9,T1129,18.6,53%,0.6,30%,L,L,,,,
90,10,T1,12,11,19,2012-11-19,09:15:00,10,T11210,17.0,54%,0.4,60%,L,L,,,,
91,11,T1,12,12,4,2012-12-04,09:00:00,11,T11211,20.0,59%,0.6,10%,H,H,HUM,,,
92,12,T1,12,12,11,2012-12-11,09:00:00,12,T11212,26.0,52%,0.3,5%,H,H,,,,
